road,roadway,type,milepost,x_old,y_old,name,direction,common_name,name_1,name_2,name_3,name_4,city_name,zip_code,mun_code,county_name,unit_old,troop_old,ft_pt,station_old
TP,,u_turn,0.0,-75.498720373,39.682153534,TP 0.1,,TP 01 UTURN,,,,,PENNSVILLE TWP,08070,1705,SALEM,D020,LOCAL PD,NONE,PENNSVILLE PD
TP,,ramp,0.0,-75.476173704,39.680980015,TP INT1 TW,W,TP INT1 TW,,TP INT1,INT1 TW,,CARNEYS POINT,08069,1713,SALEM,D020,LOCAL PD,NONE,CARNEYS POINT PD
TP,,ramp,0.0,-75.473250836,39.680530804,TP INT1 ET,T,TP INT1 ET,,TP INT1,INT1 ET,,CARNEYS POINT,08069,1713,SALEM,D020,LOCAL PD,NONE,CARNEYS POINT PD
TP,,toll_plaza,0.0,-75.469664206,39.681597370,TP INT1 IN EXIT,,TP INT1 IN EXIT,,TP INT1,INT1 IN EXIT,,CARNEYS POINT,08069,1713,SALEM,D020,LOCAL PD,NONE,CARNEYS POINT PD
TP,,toll_plaza,0.0,-75.469550228,39.681304465,TP INT1 OUT ENT,,TP INT1 OUT ENT,,TP INT1,INT1 OUT ENT,,CARNEYS POINT,08069,1713,SALEM,D020,LOCAL PD,NONE,CARNEYS POINT PD
TP,,toll_plaza,0.0,-75.470138959,39.681502196,TP INT1 OUT EXIT,,TP INT1 OUT EXIT,,TP INT1,INT1 OUT EXIT,,CARNEYS POINT,08069,1713,SALEM,D020,LOCAL PD,NONE,CARNEYS POINT PD
TP,,toll_plaza,0.0,-75.470047578,39.681207142,TP INT1 IN ENT,,TP INT1 IN ENT,,TP INT1,INT1 IN ENT,,CARNEYS POINT,08069,1713,SALEM,D020,LOCAL PD,NONE,CARNEYS POINT PD
TP,,u_turn,0.0,-75.433334896,39.687982248,TP 3.3,,TP 33 UTURN,,,,,CARNEYS POINT,08069,1713,SALEM,D020,LOCAL PD,NONE,CARNEYS POINT PD
TP,,u_turn,0.0,-75.406213551,39.693788762,TP 4.8,,TP 48 UTURN,,,,,CARNEYS POINT,08069,1713,SALEM,D020,LOCAL PD,NONE,CARNEYS POINT PD
TP,,ramp,0.0,-75.398723347,39.696576814,TP 1S SA SAS,S,TP 1S SA SAS,CLARA BARTON SA,,,,OLDMANS TWP,08067,1707,SALEM,D020,A TROOP,FULL,WOODSTOWN
TP,,ramp,0.0,-75.394810304,39.697644534,TP 1S SA NSA,S,TP 1S SA NSA,CLARA BARTON SA,,,,OLDMANS TWP,08067,1707,SALEM,D020,A TROOP,FULL,WOODSTOWN
TP,,ramp,0.0,-75.398063280,39.695940108,TP 1N SA SSA,N,TP 1N SA SSA,JOHN FENWICK SA,,,,OLDMANS TWP,08067,1707,SALEM,D020,A TROOP,FULL,WOODSTOWN
TP,,ramp,0.0,-75.394207336,39.697115420,TP 1N SA SAN,N,TP 1N SA SAN,JOHN FENWICK SA,,,,OLDMANS TWP,08067,1707,SALEM,D020,A TROOP,FULL,WOODSTOWN
TP,,service_plaza,0.0,-75.396748288,39.697977016,TP 1S SA FOOD SERVICE,,TP 1S SA FOOD SERVICE,CLARA BARTON SA,,,,OLDMANS TWP,08067,1707,SALEM,D020,A TROOP,FULL,WOODSTOWN
TP,,service_plaza,0.0,-75.396261948,39.695556285,TP 1N SA FOOD SERVICE,,TP 1N SA FOOD SERVICE,JOHN FENWICK SA,,,,OLDMANS TWP,08067,1707,SALEM,D020,A TROOP,FULL,WOODSTOWN
